filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
000043.jpg,90432,{},1,0,"{""name"":""rect"",""x"":52,""y"":149,""width"":255,""height"":34}",{}
000044.jpg,41729,{},1,0,"{""name"":""rect"",""x"":74,""y"":233,""width"":467,""height"":49}",{}
000045.jpg,32092,{},1,0,"{""name"":""rect"",""x"":63,""y"":173,""width"":382,""height"":34}",{}
000046.jpg,22801,{},1,0,"{""name"":""rect"",""x"":36,""y"":110,""width"":301,""height"":33}",{}
000047.jpg,10165,{},1,0,"{""name"":""rect"",""x"":19,""y"":76,""width"":208,""height"":26}",{}
000048.jpg,31008,{},1,0,"{""name"":""rect"",""x"":42,""y"":162,""width"":418,""height"":55}",{}
000049.jpg,15952,{},1,0,"{""name"":""rect"",""x"":18,""y"":95,""width"":266,""height"":36}",{}
000050.jpg,139037,{},1,0,"{""name"":""rect"",""x"":25,""y"":111,""width"":274,""height"":26}",{}
000051.jpg,34211,{},1,0,"{""name"":""rect"",""x"":36,""y"":171,""width"":431,""height"":39}",{}
000052.jpg,14964,{},1,0,"{""name"":""rect"",""x"":32,""y"":124,""width"":312,""height"":35}",{}
000053.jpg,17099,{},1,0,"{""name"":""rect"",""x"":16,""y"":125,""width"":325,""height"":32}",{}
000054.jpg,82870,{},1,0,"{""name"":""rect"",""x"":35,""y"":172,""width"":429,""height"":39}",{}
000055.jpg,136731,{},1,0,"{""name"":""rect"",""x"":46,""y"":119,""width"":289,""height"":33}",{}
000056.jpg,35620,{},1,0,"{""name"":""rect"",""x"":40,""y"":177,""width"":423,""height"":39}",{}
000057.jpg,20184,{},1,0,"{""name"":""rect"",""x"":23,""y"":107,""width"":301,""height"":43}",{}
000058.jpg,66099,{},1,0,"{""name"":""rect"",""x"":32,""y"":148,""width"":376,""height"":38}",{}
000059.jpg,25551,{},1,0,"{""name"":""rect"",""x"":50,""y"":164,""width"":360,""height"":37}",{}
000060.jpg,17940,{},1,0,"{""name"":""rect"",""x"":34,""y"":116,""width"":281,""height"":27}",{}
000061.jpg,31288,{},1,0,"{""name"":""rect"",""x"":54,""y"":169,""width"":401,""height"":46}",{}
000062.jpg,13076,{},1,0,"{""name"":""rect"",""x"":21,""y"":92,""width"":234,""height"":23}",{}
000063.jpg,16350,{},1,0,"{""name"":""rect"",""x"":64,""y"":236,""width"":377,""height"":39}",{}
000064.jpg,12171,{},1,0,"{""name"":""rect"",""x"":16,""y"":77,""width"":217,""height"":26}",{}
000065.jpg,13408,{},1,0,"{""name"":""rect"",""x"":32,""y"":119,""width"":245,""height"":21}",{}
000066.jpg,29223,{},1,0,"{""name"":""rect"",""x"":33,""y"":168,""width"":444,""height"":43}",{}
000067.jpg,13938,{},1,0,"{""name"":""rect"",""x"":24,""y"":100,""width"":253,""height"":26}",{}
000068.jpg,13505,{},1,0,"{""name"":""rect"",""x"":34,""y"":105,""width"":248,""height"":28}",{}
000069.jpg,28891,{},1,0,"{""name"":""rect"",""x"":49,""y"":176,""width"":388,""height"":36}",{}
000070.jpg,12138,{},1,0,"{""name"":""rect"",""x"":36,""y"":116,""width"":229,""height"":39}",{}
000071.jpg,10903,{},1,0,"{""name"":""rect"",""x"":21,""y"":97,""width"":255,""height"":31}",{}
000072.jpg,36122,{},1,0,"{""name"":""rect"",""x"":40,""y"":173,""width"":420,""height"":40}",{}
000073.jpg,31791,{},1,0,"{""name"":""rect"",""x"":39,""y"":170,""width"":419,""height"":47}",{}
000074.jpg,21094,{},1,0,"{""name"":""rect"",""x"":42,""y"":177,""width"":418,""height"":35}",{}
000075.jpg,22489,{},1,0,"{""name"":""rect"",""x"":34,""y"":149,""width"":377,""height"":41}",{}
000076.jpg,22913,{},1,0,"{""name"":""rect"",""x"":45,""y"":175,""width"":404,""height"":42}",{}
000078.jpg,36685,{},1,0,"{""name"":""rect"",""x"":49,""y"":174,""width"":405,""height"":39}",{}
000079.jpg,16369,{},1,0,"{""name"":""rect"",""x"":23,""y"":109,""width"":277,""height"":31}",{}
000080.jpg,24255,{},1,0,"{""name"":""rect"",""x"":70,""y"":147,""width"":351,""height"":36}",{}
000081.jpg,26360,{},1,0,"{""name"":""rect"",""x"":37,""y"":167,""width"":414,""height"":49}",{}
000082.jpg,12199,{},1,0,"{""name"":""rect"",""x"":36,""y"":109,""width"":266,""height"":42}",{}
000083.jpg,31726,{},1,0,"{""name"":""rect"",""x"":48,""y"":163,""width"":421,""height"":49}",{}
000084.jpg,27590,{},1,0,"{""name"":""rect"",""x"":28,""y"":137,""width"":344,""height"":37}",{}
000085.jpg,22314,{},1,0,"{""name"":""rect"",""x"":28,""y"":126,""width"":318,""height"":35}",{}
000086.jpg,31861,{},1,0,"{""name"":""rect"",""x"":65,""y"":139,""width"":393,""height"":45}",{}
000087.jpg,22957,{},1,0,"{""name"":""rect"",""x"":41,""y"":167,""width"":424,""height"":48}",{}
000088.jpg,29879,{},1,0,"{""name"":""rect"",""x"":43,""y"":145,""width"":360,""height"":45}",{}
000089.jpg,58856,{},1,0,"{""name"":""rect"",""x"":35,""y"":150,""width"":383,""height"":38}",{}
000090.jpg,28105,{},1,0,"{""name"":""rect"",""x"":44,""y"":166,""width"":421,""height"":44}",{}
000091.jpg,24844,{},1,0,"{""name"":""rect"",""x"":35,""y"":166,""width"":430,""height"":42}",{}
000092.jpg,35295,{},1,0,"{""name"":""rect"",""x"":30,""y"":170,""width"":430,""height"":43}",{}
000093.jpg,17704,{},1,0,"{""name"":""rect"",""x"":49,""y"":118,""width"":301,""height"":29}",{}
000094.jpg,13543,{},1,0,"{""name"":""rect"",""x"":34,""y"":127,""width"":292,""height"":37}",{}
000096.jpg,25541,{},1,0,"{""name"":""rect"",""x"":34,""y"":142,""width"":319,""height"":29}",{}
000097.jpg,21987,{},1,0,"{""name"":""rect"",""x"":22,""y"":148,""width"":427,""height"":60}",{}
000098.jpg,35429,{},1,0,"{""name"":""rect"",""x"":38,""y"":151,""width"":385,""height"":41}",{}
000099.jpg,26767,{},1,0,"{""name"":""rect"",""x"":26,""y"":173,""width"":450,""height"":36}",{}
000100.jpg,15431,{},1,0,"{""name"":""rect"",""x"":35,""y"":131,""width"":273,""height"":27}",{}
000101.jpg,38196,{},1,0,"{""name"":""rect"",""x"":36,""y"":166,""width"":434,""height"":48}",{}
000102.jpg,35064,{},1,0,"{""name"":""rect"",""x"":40,""y"":174,""width"":423,""height"":46}",{}
000103.jpg,29916,{},1,0,"{""name"":""rect"",""x"":39,""y"":172,""width"":419,""height"":45}",{}
000104.jpg,26671,{},1,0,"{""name"":""rect"",""x"":37,""y"":172,""width"":430,""height"":44}",{}
000105.jpg,26744,{},1,0,"{""name"":""rect"",""x"":38,""y"":160,""width"":419,""height"":48}",{}
000106.jpg,23344,{},1,0,"{""name"":""rect"",""x"":31,""y"":131,""width"":333,""height"":38}",{}
000107.jpg,23469,{},1,0,"{""name"":""rect"",""x"":36,""y"":164,""width"":413,""height"":58}",{}
000108.jpg,16097,{},1,0,"{""name"":""rect"",""x"":42,""y"":145,""width"":315,""height"":42}",{}
000109.jpg,10585,{},1,0,"{""name"":""rect"",""x"":16,""y"":82,""width"":232,""height"":29}",{}
000110.jpg,26060,{},1,0,"{""name"":""rect"",""x"":36,""y"":173,""width"":426,""height"":41}",{}
000111.jpg,26635,{},1,0,"{""name"":""rect"",""x"":26,""y"":163,""width"":435,""height"":51}",{}
000112.jpg,47916,{},1,0,"{""name"":""rect"",""x"":49,""y"":171,""width"":406,""height"":48}",{}
000113.jpg,20478,{},1,0,"{""name"":""rect"",""x"":19,""y"":118,""width"":328,""height"":39}",{}
000114.jpg,41996,{},1,0,"{""name"":""rect"",""x"":25,""y"":156,""width"":379,""height"":37}",{}
000115.jpg,22027,{},1,0,"{""name"":""rect"",""x"":31,""y"":121,""width"":320,""height"":38}",{}
000116.jpg,20280,{},1,0,"{""name"":""rect"",""x"":32,""y"":125,""width"":317,""height"":42}",{}
000117.jpg,24139,{},1,0,"{""name"":""rect"",""x"":43,""y"":178,""width"":416,""height"":53}",{}
000118.jpg,17202,{},1,0,"{""name"":""rect"",""x"":31,""y"":135,""width"":331,""height"":30}",{}
000119.jpg,31812,{},1,0,"{""name"":""rect"",""x"":33,""y"":168,""width"":415,""height"":38}",{}
000120.jpg,28758,{},1,0,"{""name"":""rect"",""x"":47,""y"":173,""width"":413,""height"":38}",{}
000121.jpg,116574,{},1,0,"{""name"":""rect"",""x"":66,""y"":134,""width"":313,""height"":29}",{}
000122.jpg,31117,{},1,0,"{""name"":""rect"",""x"":30,""y"":170,""width"":429,""height"":42}",{}
000123.jpg,22009,{},1,0,"{""name"":""rect"",""x"":58,""y"":166,""width"":375,""height"":36}",{}
000124.jpg,27110,{},1,0,"{""name"":""rect"",""x"":50,""y"":149,""width"":402,""height"":50}",{}
000125.jpg,166606,{},1,0,"{""name"":""rect"",""x"":26,""y"":132,""width"":351,""height"":36}",{}
000126.jpg,17269,{},1,0,"{""name"":""rect"",""x"":33,""y"":166,""width"":402,""height"":43}",{}
000127.jpg,30330,{},1,0,"{""name"":""rect"",""x"":37,""y"":165,""width"":403,""height"":34}",{}
000128.jpg,34284,{},1,0,"{""name"":""rect"",""x"":44,""y"":152,""width"":374,""height"":38}",{}
000129.jpg,24243,{},1,0,"{""name"":""rect"",""x"":50,""y"":152,""width"":411,""height"":48}",{}
000130.jpg,36856,{},1,0,"{""name"":""rect"",""x"":53,""y"":172,""width"":398,""height"":35}",{}
000131.jpg,38728,{},1,0,"{""name"":""rect"",""x"":32,""y"":158,""width"":404,""height"":45}",{}
000132.jpg,30425,{},1,0,"{""name"":""rect"",""x"":32,""y"":141,""width"":394,""height"":43}",{}
000133.jpg,65852,{},1,0,"{""name"":""rect"",""x"":27,""y"":139,""width"":346,""height"":25}",{}
000134.jpg,20404,{},1,0,"{""name"":""rect"",""x"":33,""y"":145,""width"":360,""height"":31}",{}
000135.jpg,30931,{},1,0,"{""name"":""rect"",""x"":46,""y"":203,""width"":411,""height"":57}",{}
000136.jpg,30030,{},1,0,"{""name"":""rect"",""x"":31,""y"":172,""width"":436,""height"":49}",{}
000137.jpg,51122,{},1,0,"{""name"":""rect"",""x"":26,""y"":177,""width"":442,""height"":43}",{}
000138.jpg,31838,{},1,0,"{""name"":""rect"",""x"":44,""y"":181,""width"":404,""height"":36}",{}
000139.jpg,23032,{},1,0,"{""name"":""rect"",""x"":27,""y"":137,""width"":379,""height"":49}",{}
000140.jpg,22166,{},1,0,"{""name"":""rect"",""x"":24,""y"":170,""width"":469,""height"":51}",{}
000141.jpg,30579,{},1,0,"{""name"":""rect"",""x"":34,""y"":158,""width"":421,""height"":49}",{}
000142.jpg,36111,{},1,0,"{""name"":""rect"",""x"":35,""y"":161,""width"":448,""height"":50}",{}
000143.jpg,15933,{},1,0,"{""name"":""rect"",""x"":14,""y"":107,""width"":300,""height"":39}",{}
000144.jpg,27341,{},1,0,"{""name"":""rect"",""x"":11,""y"":165,""width"":450,""height"":46}",{}
000145.jpg,28037,{},1,0,"{""name"":""rect"",""x"":42,""y"":148,""width"":371,""height"":41}",{}
000146.jpg,31666,{},1,0,"{""name"":""rect"",""x"":39,""y"":140,""width"":335,""height"":27}",{}
000147.jpg,21487,{},1,0,"{""name"":""rect"",""x"":33,""y"":132,""width"":331,""height"":39}",{}
000148.jpg,31521,{},1,0,"{""name"":""rect"",""x"":30,""y"":176,""width"":431,""height"":39}",{}
000149.jpg,15480,{},1,0,"{""name"":""rect"",""x"":17,""y"":106,""width"":294,""height"":34}",{}
000150.jpg,31855,{},1,0,"{""name"":""rect"",""x"":39,""y"":167,""width"":417,""height"":44}",{}
000151.jpg,36215,{},1,0,"{""name"":""rect"",""x"":59,""y"":163,""width"":397,""height"":41}",{}
000152.jpg,32277,{},1,0,"{""name"":""rect"",""x"":32,""y"":163,""width"":421,""height"":45}",{}
000153.jpg,26231,{},1,0,"{""name"":""rect"",""x"":17,""y"":182,""width"":355,""height"":44}",{}
000154.jpg,11462,{},1,0,"{""name"":""rect"",""x"":25,""y"":121,""width"":239,""height"":28}",{}
000155.jpg,18580,{},1,0,"{""name"":""rect"",""x"":31,""y"":158,""width"":324,""height"":38}",{}
000156.jpg,38626,{},1,0,"{""name"":""rect"",""x"":55,""y"":161,""width"":373,""height"":55}",{}
000157.jpg,29406,{},1,0,"{""name"":""rect"",""x"":34,""y"":169,""width"":411,""height"":41}",{}
000158.jpg,25676,{},1,0,"{""name"":""rect"",""x"":30,""y"":128,""width"":354,""height"":43}",{}
000159.jpg,43434,{},1,0,"{""name"":""rect"",""x"":85,""y"":186,""width"":342,""height"":44}",{}
000160.jpg,25725,{},1,0,"{""name"":""rect"",""x"":20,""y"":163,""width"":439,""height"":47}",{}
000161.jpg,29807,{},1,0,"{""name"":""rect"",""x"":27,""y"":143,""width"":396,""height"":44}",{}
000162.jpg,77852,{},1,0,"{""name"":""rect"",""x"":24,""y"":169,""width"":441,""height"":48}",{}
000163.jpg,28362,{},1,0,"{""name"":""rect"",""x"":33,""y"":157,""width"":430,""height"":50}",{}
000164.jpg,12295,{},1,0,"{""name"":""rect"",""x"":44,""y"":118,""width"":278,""height"":31}",{}
000165.jpg,24885,{},1,0,"{""name"":""rect"",""x"":37,""y"":172,""width"":420,""height"":35}",{}
000166.jpg,29973,{},1,0,"{""name"":""rect"",""x"":46,""y"":174,""width"":409,""height"":36}",{}
000167.jpg,28537,{},1,0,"{""name"":""rect"",""x"":19,""y"":103,""width"":256,""height"":28}",{}
000168.jpg,19172,{},1,0,"{""name"":""rect"",""x"":33,""y"":142,""width"":355,""height"":40}",{}
000169.jpg,34688,{},1,0,"{""name"":""rect"",""x"":5,""y"":159,""width"":396,""height"":39}",{}
000170.jpg,34582,{},1,0,"{""name"":""rect"",""x"":46,""y"":171,""width"":419,""height"":48}",{}
000171.jpg,17888,{},1,0,"{""name"":""rect"",""x"":17,""y"":145,""width"":387,""height"":36}",{}
000172.jpg,24782,{},1,0,"{""name"":""rect"",""x"":39,""y"":172,""width"":420,""height"":42}",{}
000173.jpg,12067,{},1,0,"{""name"":""rect"",""x"":37,""y"":115,""width"":261,""height"":25}",{}
000174.jpg,211640,{},1,0,"{""name"":""rect"",""x"":27,""y"":168,""width"":437,""height"":49}",{}
000175.jpg,23547,{},1,0,"{""name"":""rect"",""x"":36,""y"":141,""width"":327,""height"":27}",{}
000176.jpg,50740,{},1,0,"{""name"":""rect"",""x"":27,""y"":148,""width"":381,""height"":44}",{}
000177.jpg,24028,{},1,0,"{""name"":""rect"",""x"":92,""y"":147,""width"":261,""height"":44}",{}
000178.jpg,68386,{},1,0,"{""name"":""rect"",""x"":24,""y"":128,""width"":333,""height"":36}",{}
000179.jpg,25952,{},1,0,"{""name"":""rect"",""x"":42,""y"":162,""width"":420,""height"":49}",{}
000180.jpg,22664,{},1,0,"{""name"":""rect"",""x"":58,""y"":143,""width"":389,""height"":49}",{}
000181.jpg,30742,{},1,0,"{""name"":""rect"",""x"":21,""y"":173,""width"":452,""height"":35}",{}
000182.jpg,21102,{},1,0,"{""name"":""rect"",""x"":48,""y"":130,""width"":302,""height"":35}",{}
000183.jpg,36105,{},1,0,"{""name"":""rect"",""x"":39,""y"":167,""width"":414,""height"":43}",{}
000184.jpg,20110,{},1,0,"{""name"":""rect"",""x"":76,""y"":166,""width"":347,""height"":38}",{}
000185.jpg,15643,{},1,0,"{""name"":""rect"",""x"":24,""y"":109,""width"":277,""height"":34}",{}
000186.jpg,30621,{},1,0,"{""name"":""rect"",""x"":25,""y"":160,""width"":400,""height"":38}",{}
000187.jpg,71523,{},1,0,"{""name"":""rect"",""x"":18,""y"":124,""width"":332,""height"":36}",{}
000188.jpg,14395,{},1,0,"{""name"":""rect"",""x"":29,""y"":119,""width"":302,""height"":30}",{}
000189.jpg,19188,{},1,0,"{""name"":""rect"",""x"":25,""y"":141,""width"":342,""height"":27}",{}
000190.jpg,13064,{},1,0,"{""name"":""rect"",""x"":24,""y"":121,""width"":303,""height"":30}",{}
000191.jpg,30089,{},1,0,"{""name"":""rect"",""x"":35,""y"":171,""width"":423,""height"":43}",{}
000192.jpg,44742,{},1,0,"{""name"":""rect"",""x"":39,""y"":156,""width"":400,""height"":46}",{}
000193.jpg,22872,{},1,0,"{""name"":""rect"",""x"":13,""y"":141,""width"":371,""height"":40}",{}
000194.jpg,29150,{},1,0,"{""name"":""rect"",""x"":40,""y"":170,""width"":440,""height"":40}",{}
000195.jpg,35545,{},1,0,"{""name"":""rect"",""x"":42,""y"":164,""width"":411,""height"":50}",{}
000196.jpg,25970,{},1,0,"{""name"":""rect"",""x"":29,""y"":140,""width"":363,""height"":40}",{}
000197.jpg,32297,{},1,0,"{""name"":""rect"",""x"":23,""y"":163,""width"":448,""height"":53}",{}
000198.jpg,27732,{},1,0,"{""name"":""rect"",""x"":38,""y"":168,""width"":426,""height"":47}",{}
000199.jpg,26676,{},1,0,"{""name"":""rect"",""x"":28,""y"":168,""width"":437,""height"":47}",{}
000200.jpg,23920,{},1,0,"{""name"":""rect"",""x"":33,""y"":174,""width"":421,""height"":42}",{}
000201.jpg,28694,{},1,0,"{""name"":""rect"",""x"":36,""y"":159,""width"":430,""height"":54}",{}
000202.jpg,27346,{},1,0,"{""name"":""rect"",""x"":40,""y"":171,""width"":406,""height"":35}",{}
000203.jpg,133575,{},1,0,"{""name"":""rect"",""x"":21,""y"":165,""width"":412,""height"":35}",{}
000204.jpg,30587,{},1,0,"{""name"":""rect"",""x"":16,""y"":167,""width"":436,""height"":43}",{}
000205.jpg,21281,{},1,0,"{""name"":""rect"",""x"":25,""y"":128,""width"":326,""height"":33}",{}
000206.jpg,16732,{},1,0,"{""name"":""rect"",""x"":29,""y"":102,""width"":241,""height"":27}",{}
000207.jpg,81831,{},1,0,"{""name"":""rect"",""x"":22,""y"":92,""width"":252,""height"":27}",{}
000208.jpg,13936,{},1,0,"{""name"":""rect"",""x"":24,""y"":117,""width"":273,""height"":31}",{}
000209.jpg,25097,{},1,0,"{""name"":""rect"",""x"":36,""y"":162,""width"":411,""height"":37}",{}
000210.jpg,25993,{},1,0,"{""name"":""rect"",""x"":34,""y"":151,""width"":387,""height"":48}",{}
000211.jpg,29562,{},1,0,"{""name"":""rect"",""x"":35,""y"":166,""width"":433,""height"":49}",{}
000212.jpg,31367,{},1,0,"{""name"":""rect"",""x"":33,""y"":172,""width"":429,""height"":45}",{}
000213.jpg,39164,{},1,0,"{""name"":""rect"",""x"":40,""y"":174,""width"":413,""height"":35}",{}
000214.jpg,30379,{},1,0,"{""name"":""rect"",""x"":52,""y"":178,""width"":387,""height"":48}",{}
000215.jpg,28105,{},1,0,"{""name"":""rect"",""x"":46,""y"":171,""width"":420,""height"":44}",{}
000216.jpg,21076,{},1,0,"{""name"":""rect"",""x"":49,""y"":177,""width"":403,""height"":35}",{}
000217.jpg,11098,{},1,0,"{""name"":""rect"",""x"":17,""y"":97,""width"":249,""height"":29}",{}
000218.jpg,43720,{},1,0,"{""name"":""rect"",""x"":36,""y"":171,""width"":421,""height"":40}",{}
000219.jpg,17377,{},1,0,"{""name"":""rect"",""x"":26,""y"":116,""width"":301,""height"":30}",{}
000220.jpg,56364,{},1,0,"{""name"":""rect"",""x"":56,""y"":145,""width"":391,""height"":55}",{}
000221.jpg,32210,{},1,0,"{""name"":""rect"",""x"":30,""y"":169,""width"":423,""height"":42}",{}
000222.jpg,25983,{},1,0,"{""name"":""rect"",""x"":41,""y"":167,""width"":415,""height"":49}",{}
000223.jpg,23469,{},1,0,"{""name"":""rect"",""x"":37,""y"":170,""width"":412,""height"":44}",{}
000224.jpg,13594,{},1,0,"{""name"":""rect"",""x"":15,""y"":97,""width"":272,""height"":30}",{}
000225.jpg,22819,{},1,0,"{""name"":""rect"",""x"":31,""y"":154,""width"":443,""height"":49}",{}
000226.jpg,25642,{},1,0,"{""name"":""rect"",""x"":40,""y"":166,""width"":414,""height"":41}",{}
000227.jpg,11126,{},1,0,"{""name"":""rect"",""x"":28,""y"":103,""width"":233,""height"":25}",{}
000228.jpg,15560,{},1,0,"{""name"":""rect"",""x"":19,""y"":107,""width"":275,""height"":34}",{}
000229.jpg,17739,{},1,0,"{""name"":""rect"",""x"":31,""y"":122,""width"":291,""height"":30}",{}
000230.jpg,20843,{},1,0,"{""name"":""rect"",""x"":29,""y"":186,""width"":435,""height"":52}",{}
000231.jpg,20267,{},1,0,"{""name"":""rect"",""x"":40,""y"":139,""width"":318,""height"":33}",{}
000232.jpg,46472,{},1,0,"{""name"":""rect"",""x"":24,""y"":167,""width"":432,""height"":44}",{}
000233.jpg,62886,{},1,0,"{""name"":""rect"",""x"":27,""y"":139,""width"":355,""height"":47}",{}
000234.jpg,34824,{},1,0,"{""name"":""rect"",""x"":36,""y"":170,""width"":407,""height"":36}",{}
000235.jpg,25056,{},1,0,"{""name"":""rect"",""x"":31,""y"":151,""width"":382,""height"":39}",{}
000236.jpg,36111,{},1,0,"{""name"":""rect"",""x"":27,""y"":164,""width"":456,""height"":49}",{}
000237.jpg,194615,{},1,0,"{""name"":""rect"",""x"":31,""y"":164,""width"":434,""height"":48}",{}
000238.jpg,33238,{},1,0,"{""name"":""rect"",""x"":32,""y"":165,""width"":439,""height"":44}",{}
000239.jpg,26231,{},1,0,"{""name"":""rect"",""x"":20,""y"":187,""width"":359,""height"":40}",{}
000240.jpg,19708,{},1,0,"{""name"":""rect"",""x"":16,""y"":113,""width"":317,""height"":39}",{}
000241.jpg,19963,{},1,0,"{""name"":""rect"",""x"":59,""y"":138,""width"":310,""height"":33}",{}
000242.jpg,20934,{},1,0,"{""name"":""rect"",""x"":44,""y"":169,""width"":406,""height"":39}",{}
000243.jpg,185613,{},1,0,"{""name"":""rect"",""x"":32,""y"":150,""width"":365,""height"":41}",{}
000244.jpg,31090,{},1,0,"{""name"":""rect"",""x"":22,""y"":115,""width"":334,""height"":46}",{}
000245.jpg,16997,{},1,0,"{""name"":""rect"",""x"":23,""y"":119,""width"":301,""height"":24}",{}
000246.jpg,15917,{},1,0,"{""name"":""rect"",""x"":21,""y"":121,""width"":320,""height"":38}",{}
000247.jpg,19188,{},1,0,"{""name"":""rect"",""x"":29,""y"":137,""width"":345,""height"":34}",{}
000248.jpg,23729,{},1,0,"{""name"":""rect"",""x"":35,""y"":162,""width"":397,""height"":42}",{}
000249.jpg,40673,{},1,0,"{""name"":""rect"",""x"":34,""y"":167,""width"":419,""height"":49}",{}
000250.jpg,29099,{},1,0,"{""name"":""rect"",""x"":54,""y"":179,""width"":398,""height"":40}",{}
000251.jpg,20846,{},1,0,"{""name"":""rect"",""x"":29,""y"":148,""width"":381,""height"":42}",{}
000252.jpg,26652,{},1,0,"{""name"":""rect"",""x"":33,""y"":164,""width"":423,""height"":52}",{}
000253.jpg,23906,{},1,0,"{""name"":""rect"",""x"":37,""y"":172,""width"":433,""height"":44}",{}
000254.jpg,28583,{},1,0,"{""name"":""rect"",""x"":48,""y"":169,""width"":412,""height"":45}",{}
000255.jpg,30585,{},1,0,"{""name"":""rect"",""x"":32,""y"":154,""width"":377,""height"":37}",{}
000256.jpg,19604,{},1,0,"{""name"":""rect"",""x"":40,""y"":156,""width"":407,""height"":44}",{}
